image,ground_truth,bbox,predicted_class,confidence
0.jpg,motorcycle,"{'xmin': 996, 'ymin': 619, 'xmax': 1086, 'ymax': 752, 'class': 'motorcycle', 'class_id': 4}",,
0.jpg,car,"{'xmin': 856, 'ymin': 565, 'xmax': 959, 'ymax': 689, 'class': 'car', 'class_id': 0}",,
1.jpg,autorickshaw,"{'xmin': 961, 'ymin': 393, 'xmax': 1651, 'ymax': 1079, 'class': 'autorickshaw', 'class_id': 5}",,
1.jpg,car,"{'xmin': 931, 'ymin': 457, 'xmax': 970, 'ymax': 490, 'class': 'car', 'class_id': 0}",,
1.jpg,scooter,"{'xmin': 1683, 'ymin': 610, 'xmax': 1920, 'ymax': 876, 'class': 'scooter', 'class_id': 6}",,
1.jpg,truck,"{'xmin': 444, 'ymin': 152, 'xmax': 946, 'ymax': 914, 'class': 'truck', 'class_id': 1}",,
10.jpg,scooter,"{'xmin': 1215, 'ymin': 553, 'xmax': 1645, 'ymax': 878, 'class': 'scooter', 'class_id': 6}",,
10.jpg,car,"{'xmin': 1302, 'ymin': 421, 'xmax': 1920, 'ymax': 794, 'class': 'car', 'class_id': 0}",,
10.jpg,car,"{'xmin': 1053, 'ymin': 521, 'xmax': 1382, 'ymax': 674, 'class': 'car', 'class_id': 0}",,
10.jpg,car,"{'xmin': 0, 'ymin': 542, 'xmax': 318, 'ymax': 867, 'class': 'car', 'class_id': 0}",,
10.jpg,car,"{'xmin': 561, 'ymin': 541, 'xmax': 739, 'ymax': 674, 'class': 'car', 'class_id': 0}",,
10.jpg,motorcycle,"{'xmin': 995, 'ymin': 567, 'xmax': 1181, 'ymax': 694, 'class': 'motorcycle', 'class_id': 4}",,
10.jpg,motorcycle,"{'xmin': 1785, 'ymin': 574, 'xmax': 1920, 'ymax': 838, 'class': 'motorcycle', 'class_id': 4}",,
10.jpg,scooter,"{'xmin': 635, 'ymin': 628, 'xmax': 1030, 'ymax': 903, 'class': 'scooter', 'class_id': 6}",,
10.jpg,motorcycle,"{'xmin': 630, 'ymin': 593, 'xmax': 957, 'ymax': 785, 'class': 'motorcycle', 'class_id': 4}",,
100.jpg,autorickshaw,"{'xmin': 697, 'ymin': 335, 'xmax': 899, 'ymax': 565, 'class': 'autorickshaw', 'class_id': 5}",,
100.jpg,car,"{'xmin': 884, 'ymin': 358, 'xmax': 1252, 'ymax': 639, 'class': 'car', 'class_id': 0}",,
100.jpg,scooter,"{'xmin': 5, 'ymin': 501, 'xmax': 284, 'ymax': 720, 'class': 'scooter', 'class_id': 6}",,
100.jpg,scooter,"{'xmin': 601, 'ymin': 396, 'xmax': 695, 'ymax': 590, 'class': 'scooter', 'class_id': 6}",,
100.jpg,motorcycle,"{'xmin': 1070, 'ymin': 468, 'xmax': 1280, 'ymax': 718, 'class': 'motorcycle', 'class_id': 4}",,
100.jpg,car,"{'xmin': 242, 'ymin': 366, 'xmax': 569, 'ymax': 620, 'class': 'car', 'class_id': 0}",,
1000.jpg,scooter,"{'xmin': 5, 'ymin': 661, 'xmax': 370, 'ymax': 975, 'class': 'scooter', 'class_id': 6}",,
1000.jpg,autorickshaw,"{'xmin': 714, 'ymin': 572, 'xmax': 887, 'ymax': 730, 'class': 'autorickshaw', 'class_id': 5}",,
1000.jpg,autorickshaw,"{'xmin': 439, 'ymin': 565, 'xmax': 664, 'ymax': 769, 'class': 'autorickshaw', 'class_id': 5}",,
1000.jpg,motorcycle,"{'xmin': 2, 'ymin': 808, 'xmax': 267, 'ymax': 1068, 'class': 'motorcycle', 'class_id': 4}",,
1001.jpg,car,"{'xmin': 747, 'ymin': 620, 'xmax': 1221, 'ymax': 1055, 'class': 'car', 'class_id': 0}",,
1001.jpg,scooter,"{'xmin': 842, 'ymin': 807, 'xmax': 1172, 'ymax': 1079, 'class': 'scooter', 'class_id': 6}",,
1001.jpg,car,"{'xmin': 1299, 'ymin': 601, 'xmax': 1920, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
1001.jpg,car,"{'xmin': 1, 'ymin': 676, 'xmax': 672, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
1001.jpg,car,"{'xmin': 1161, 'ymin': 618, 'xmax': 1413, 'ymax': 856, 'class': 'car', 'class_id': 0}",,
1003.jpg,motorcycle,"{'xmin': 268, 'ymin': 695, 'xmax': 570, 'ymax': 1080, 'class': 'motorcycle', 'class_id': 4}",,
1003.jpg,car,"{'xmin': 1255, 'ymin': 517, 'xmax': 1920, 'ymax': 1080, 'class': 'car', 'class_id': 0}",,
1003.jpg,car,"{'xmin': 812, 'ymin': 569, 'xmax': 1127, 'ymax': 814, 'class': 'car', 'class_id': 0}",,
1004.jpg,autorickshaw,"{'xmin': 85, 'ymin': 566, 'xmax': 695, 'ymax': 1080, 'class': 'autorickshaw', 'class_id': 5}",,
1004.jpg,autorickshaw,"{'xmin': 1300, 'ymin': 578, 'xmax': 1452, 'ymax': 743, 'class': 'autorickshaw', 'class_id': 5}",,
1004.jpg,motorcycle,"{'xmin': 1317, 'ymin': 636, 'xmax': 1423, 'ymax': 805, 'class': 'motorcycle', 'class_id': 4}",,
1004.jpg,scooter,"{'xmin': 1111, 'ymin': 704, 'xmax': 1315, 'ymax': 996, 'class': 'scooter', 'class_id': 6}",,
1004.jpg,motorcycle,"{'xmin': 1544, 'ymin': 872, 'xmax': 1921, 'ymax': 1080, 'class': 'motorcycle', 'class_id': 4}",,
1004.jpg,mini-bus,"{'xmin': 425, 'ymin': 500, 'xmax': 702, 'ymax': 696, 'class': 'mini-bus', 'class_id': 3}",,
1004.jpg,motorcycle,"{'xmin': 1414, 'ymin': 692, 'xmax': 1662, 'ymax': 971, 'class': 'motorcycle', 'class_id': 4}",,
1004.jpg,autorickshaw,"{'xmin': 1103, 'ymin': 575, 'xmax': 1320, 'ymax': 784, 'class': 'autorickshaw', 'class_id': 5}",,
1004.jpg,autorickshaw,"{'xmin': 668, 'ymin': 569, 'xmax': 902, 'ymax': 864, 'class': 'autorickshaw', 'class_id': 5}",,
1005.jpg,car,"{'xmin': 315, 'ymin': 462, 'xmax': 513, 'ymax': 658, 'class': 'car', 'class_id': 0}",,
1005.jpg,car,"{'xmin': 845, 'ymin': 461, 'xmax': 958, 'ymax': 560, 'class': 'car', 'class_id': 0}",,
1005.jpg,truck,"{'xmin': 1, 'ymin': 108, 'xmax': 397, 'ymax': 842, 'class': 'truck', 'class_id': 1}",,
1005.jpg,scooter,"{'xmin': 942, 'ymin': 547, 'xmax': 1111, 'ymax': 832, 'class': 'scooter', 'class_id': 6}",,
1005.jpg,car,"{'xmin': 851, 'ymin': 478, 'xmax': 1029, 'ymax': 637, 'class': 'car', 'class_id': 0}",,
1005.jpg,autorickshaw,"{'xmin': 1457, 'ymin': 465, 'xmax': 1920, 'ymax': 887, 'class': 'autorickshaw', 'class_id': 5}",,
1006.jpg,motorcycle,"{'xmin': 658, 'ymin': 650, 'xmax': 807, 'ymax': 925, 'class': 'motorcycle', 'class_id': 4}",,
1006.jpg,autorickshaw,"{'xmin': 17, 'ymin': 547, 'xmax': 630, 'ymax': 1078, 'class': 'autorickshaw', 'class_id': 5}",,
1006.jpg,motorcycle,"{'xmin': 1644, 'ymin': 666, 'xmax': 1849, 'ymax': 837, 'class': 'motorcycle', 'class_id': 4}",,
1006.jpg,autorickshaw,"{'xmin': 1004, 'ymin': 548, 'xmax': 1588, 'ymax': 1077, 'class': 'autorickshaw', 'class_id': 5}",,
1006.jpg,autorickshaw,"{'xmin': 1608, 'ymin': 542, 'xmax': 1783, 'ymax': 644, 'class': 'autorickshaw', 'class_id': 5}",,
1006.jpg,autorickshaw,"{'xmin': 862, 'ymin': 536, 'xmax': 1120, 'ymax': 915, 'class': 'autorickshaw', 'class_id': 5}",,
1007.jpg,autorickshaw,"{'xmin': 12, 'ymin': 457, 'xmax': 256, 'ymax': 615, 'class': 'autorickshaw', 'class_id': 5}",,
1007.jpg,truck,"{'xmin': 1026, 'ymin': 410, 'xmax': 1249, 'ymax': 670, 'class': 'truck', 'class_id': 1}",,
1008.jpg,bus,"{'xmin': 958, 'ymin': 247, 'xmax': 1280, 'ymax': 411, 'class': 'bus', 'class_id': 2}",,
1008.jpg,car,"{'xmin': 500, 'ymin': 356, 'xmax': 689, 'ymax': 518, 'class': 'car', 'class_id': 0}",,
1008.jpg,car,"{'xmin': 719, 'ymin': 350, 'xmax': 898, 'ymax': 490, 'class': 'car', 'class_id': 0}",,
1008.jpg,car,"{'xmin': 271, 'ymin': 353, 'xmax': 510, 'ymax': 493, 'class': 'car', 'class_id': 0}",,
1008.jpg,car,"{'xmin': 1, 'ymin': 496, 'xmax': 228, 'ymax': 720, 'class': 'car', 'class_id': 0}",,
1008.jpg,scooter,"{'xmin': 347, 'ymin': 418, 'xmax': 471, 'ymax': 581, 'class': 'scooter', 'class_id': 6}",,
101.jpg,motorcycle,"{'xmin': 772, 'ymin': 632, 'xmax': 837, 'ymax': 724, 'class': 'motorcycle', 'class_id': 4}",,
101.jpg,car,"{'xmin': 1489, 'ymin': 564, 'xmax': 1918, 'ymax': 841, 'class': 'car', 'class_id': 0}",,
101.jpg,scooter,"{'xmin': 84, 'ymin': 657, 'xmax': 197, 'ymax': 783, 'class': 'scooter', 'class_id': 6}",,
101.jpg,truck,"{'xmin': 1213, 'ymin': 507, 'xmax': 1379, 'ymax': 718, 'class': 'truck', 'class_id': 1}",,
1010.jpg,scooter,"{'xmin': 785, 'ymin': 460, 'xmax': 1070, 'ymax': 829, 'class': 'scooter', 'class_id': 6}",,
1010.jpg,scooter,"{'xmin': 1, 'ymin': 460, 'xmax': 136, 'ymax': 673, 'class': 'scooter', 'class_id': 6}",,
1010.jpg,scooter,"{'xmin': 352, 'ymin': 416, 'xmax': 611, 'ymax': 711, 'class': 'scooter', 'class_id': 6}",,
1010.jpg,motorcycle,"{'xmin': 310, 'ymin': 465, 'xmax': 518, 'ymax': 694, 'class': 'motorcycle', 'class_id': 4}",,
1010.jpg,motorcycle,"{'xmin': 372, 'ymin': 493, 'xmax': 784, 'ymax': 753, 'class': 'motorcycle', 'class_id': 4}",,
1011.jpg,scooter,"{'xmin': 1113, 'ymin': 648, 'xmax': 1159, 'ymax': 724, 'class': 'scooter', 'class_id': 6}",,
1011.jpg,scooter,"{'xmin': 1287, 'ymin': 680, 'xmax': 1376, 'ymax': 798, 'class': 'scooter', 'class_id': 6}",,
1011.jpg,autorickshaw,"{'xmin': 816, 'ymin': 599, 'xmax': 990, 'ymax': 818, 'class': 'autorickshaw', 'class_id': 5}",,
1012.jpg,motorcycle,"{'xmin': 1009, 'ymin': 628, 'xmax': 1086, 'ymax': 735, 'class': 'motorcycle', 'class_id': 4}",,
1012.jpg,motorcycle,"{'xmin': 911, 'ymin': 609, 'xmax': 1017, 'ymax': 687, 'class': 'motorcycle', 'class_id': 4}",,
1012.jpg,scooter,"{'xmin': 211, 'ymin': 710, 'xmax': 400, 'ymax': 836, 'class': 'scooter', 'class_id': 6}",,
1012.jpg,motorcycle,"{'xmin': 436, 'ymin': 675, 'xmax': 634, 'ymax': 836, 'class': 'motorcycle', 'class_id': 4}",,
1012.jpg,scooter,"{'xmin': 1188, 'ymin': 592, 'xmax': 1342, 'ymax': 704, 'class': 'scooter', 'class_id': 6}",,
1012.jpg,motorcycle,"{'xmin': 786, 'ymin': 623, 'xmax': 854, 'ymax': 725, 'class': 'motorcycle', 'class_id': 4}",,
1012.jpg,scooter,"{'xmin': 538, 'ymin': 630, 'xmax': 711, 'ymax': 775, 'class': 'scooter', 'class_id': 6}",,
1016.jpg,car,"{'xmin': 1216, 'ymin': 501, 'xmax': 1339, 'ymax': 563, 'class': 'car', 'class_id': 0}",,
1016.jpg,car,"{'xmin': 1113, 'ymin': 504, 'xmax': 1287, 'ymax': 637, 'class': 'car', 'class_id': 0}",,
1016.jpg,car,"{'xmin': 1437, 'ymin': 502, 'xmax': 1611, 'ymax': 542, 'class': 'car', 'class_id': 0}",,
1016.jpg,bus,"{'xmin': 857, 'ymin': 386, 'xmax': 1106, 'ymax': 641, 'class': 'bus', 'class_id': 2}",,
1016.jpg,car,"{'xmin': 1211, 'ymin': 494, 'xmax': 1666, 'ymax': 843, 'class': 'car', 'class_id': 0}",,
