epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6258,3.48678,4.51217,4.08663,0.18013,0.03537,0.00575,0.00158,2.95253,3.88932,3.64592,0.00331825,0.00331825,0.00331825
2,111.342,2.65922,3.23499,2.98439,0.36334,0.1683,0.11386,0.05375,2.13009,4.7335,2.57265,0.006645,0.006645,0.006645
3,162.062,2.01743,2.38222,2.22731,0.68139,0.25538,0.2777,0.15688,1.71667,1.95049,2.02108,0.00996515,0.00996515,0.00996515
4,212.756,1.72749,1.96129,1.90139,0.46133,0.38434,0.40731,0.25204,1.48773,1.56179,1.78078,0.0099703,0.0099703,0.0099703
5,262.832,1.55811,1.70797,1.72343,0.53082,0.42695,0.46698,0.30251,1.38754,1.40915,1.66213,0.0099604,0.0099604,0.0099604
6,315.43,1.45207,1.55126,1.62621,0.51673,0.47736,0.47633,0.31708,1.31297,1.43006,1.60001,0.0099505,0.0099505,0.0099505
7,367.994,1.38536,1.43371,1.56045,0.51645,0.54332,0.5373,0.36554,1.23828,1.24927,1.53303,0.0099406,0.0099406,0.0099406
8,417.678,1.33571,1.35105,1.52367,0.59318,0.54219,0.55446,0.38109,1.21737,1.18626,1.50967,0.0099307,0.0099307,0.0099307
9,468.797,1.28827,1.27423,1.47821,0.60069,0.5653,0.59607,0.41902,1.16959,1.1313,1.45567,0.0099208,0.0099208,0.0099208
10,519.519,1.2616,1.2088,1.44446,0.63165,0.56667,0.61651,0.43569,1.14629,1.06032,1.4324,0.0099109,0.0099109,0.0099109
11,569.585,1.23462,1.17079,1.43163,0.66024,0.56073,0.62546,0.44693,1.11827,1.0506,1.40843,0.009901,0.009901,0.009901
12,619.53,1.21633,1.14174,1.41521,0.67649,0.57953,0.64586,0.46817,1.11351,1.0076,1.39821,0.0098911,0.0098911,0.0098911
13,670.468,1.1888,1.10284,1.3955,0.65593,0.61105,0.66363,0.48377,1.08235,0.95583,1.37843,0.0098812,0.0098812,0.0098812
14,721.976,1.16433,1.06075,1.37449,0.72489,0.61696,0.6905,0.50937,1.06958,0.9451,1.35929,0.0098713,0.0098713,0.0098713
15,771.689,1.14295,1.03733,1.36291,0.75744,0.61731,0.70256,0.51105,1.07391,0.90814,1.35749,0.0098614,0.0098614,0.0098614
16,821.931,1.14013,1.02095,1.35286,0.70897,0.64227,0.71395,0.52783,1.03012,0.88025,1.3333,0.0098515,0.0098515,0.0098515
17,872.189,1.12758,1.00267,1.3413,0.6604,0.6516,0.69107,0.51866,1.03234,0.90019,1.32194,0.0098416,0.0098416,0.0098416
18,922.621,1.10819,0.98394,1.33374,0.74032,0.67719,0.73723,0.54757,1.02021,0.87856,1.31889,0.0098317,0.0098317,0.0098317
19,973.562,1.09219,0.95281,1.31869,0.76711,0.63965,0.73289,0.53913,1.03344,0.87434,1.32685,0.0098218,0.0098218,0.0098218
20,1023.83,1.09034,0.94696,1.31188,0.66254,0.67436,0.70751,0.52679,1.02139,0.85386,1.31316,0.0098119,0.0098119,0.0098119
21,1074.51,1.07926,0.92395,1.30418,0.77557,0.65548,0.73772,0.55491,1.0158,0.86248,1.309,0.009802,0.009802,0.009802
22,1125.35,1.06827,0.91812,1.29563,0.77398,0.63818,0.7316,0.5452,1.00713,0.84959,1.31322,0.0097921,0.0097921,0.0097921
23,1175.37,1.06221,0.91121,1.29403,0.74865,0.65785,0.73174,0.54367,1.02061,0.83593,1.30391,0.0097822,0.0097822,0.0097822
24,1225.51,1.04709,0.8883,1.2805,0.74187,0.69026,0.76083,0.57359,0.97823,0.80858,1.28625,0.0097723,0.0097723,0.0097723
25,1276.19,1.05091,0.88606,1.28097,0.7346,0.6837,0.75984,0.57178,0.98283,0.80759,1.28813,0.0097624,0.0097624,0.0097624
26,1326.41,1.03289,0.87335,1.27379,0.76297,0.67496,0.75601,0.57701,0.98591,0.80063,1.28679,0.0097525,0.0097525,0.0097525
27,1376.87,1.02763,0.86572,1.27261,0.79505,0.65391,0.75329,0.57927,0.97393,0.79568,1.27493,0.0097426,0.0097426,0.0097426
28,1427.47,1.02303,0.85929,1.26345,0.77128,0.67194,0.76152,0.58288,0.9737,0.79911,1.27405,0.0097327,0.0097327,0.0097327
