epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1512.54,3.14466,4.33618,3.70963,0.43751,0.09635,0.05283,0.02019,2.52106,3.98324,2.75176,0.000301629,0.000301629,0.000301629
2,3002.89,2.26329,2.85049,2.40247,0.44752,0.2266,0.20678,0.10073,1.98343,2.50236,2.13965,0.000544771,0.000544771,0.000544771
3,4470.97,1.85254,2.16912,1.94871,0.5411,0.3203,0.31681,0.18382,1.69904,1.97605,1.81586,0.000727918,0.000727918,0.000727918
4,5962.24,1.65988,1.84058,1.75173,0.44245,0.36012,0.37641,0.2283,1.54991,1.68327,1.67557,0.000639027,0.000639027,0.000639027
5,7449.48,1.53121,1.63074,1.631,0.49227,0.39685,0.42157,0.26969,1.48867,1.61667,1.62291,0.000549036,0.000549036,0.000549036
6,8955.7,1.45438,1.48385,1.55753,0.51068,0.44514,0.47913,0.30582,1.43918,1.47572,1.5514,0.000459045,0.000459045,0.000459045
7,10447.3,1.39777,1.39549,1.50044,0.56448,0.47749,0.50867,0.33429,1.39136,1.39207,1.51421,0.000369054,0.000369054,0.000369054
8,11943.9,1.34725,1.3112,1.45573,0.60051,0.50416,0.53876,0.36196,1.32467,1.31715,1.46435,0.000279063,0.000279063,0.000279063
9,13437.1,1.30806,1.25235,1.42432,0.62289,0.50166,0.5541,0.37947,1.28559,1.23457,1.42455,0.000189072,0.000189072,0.000189072
10,14958,1.27897,1.21254,1.40389,0.63304,0.53217,0.57639,0.39996,1.25431,1.18827,1.40042,9.9081e-05,9.9081e-05,9.9081e-05
