epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4524,3.49311,11.2974,1.87768,0.00031,0.0884,0.00038,0.00013,2.4218,5.28159,1.34602,0.00329545,0.00329545,0.00329545
2,87.6204,2.32162,5.49621,1.23639,0.17215,0.32043,0.14199,0.06126,1.99468,2.9723,1.21148,0.00661566,0.00661566,0.00661566
3,109.514,2.11015,4.30005,1.19047,0.07345,0.36604,0.06171,0.02671,2.02241,6.02934,1.26796,0.00992267,0.00992267,0.00992267
4,131.268,2.04486,3.47991,1.20631,0.12583,0.33351,0.11625,0.04781,1.84415,2.73036,1.17189,0.0099406,0.0099406,0.0099406
5,153.742,1.88563,2.76738,1.14524,0.16199,0.39462,0.13929,0.06518,1.82708,2.44246,1.15024,0.0099208,0.0099208,0.0099208
6,175.848,1.88455,2.529,1.13749,0.22711,0.32888,0.22075,0.11175,1.76649,2.18877,1.16763,0.009901,0.009901,0.009901
7,197.384,1.79156,2.34962,1.10976,0.11273,0.26675,0.10061,0.05715,1.58471,3.18319,1.08107,0.0098812,0.0098812,0.0098812
8,218.979,1.71253,2.14716,1.08632,0.25897,0.32576,0.22755,0.13169,1.59703,2.07174,1.08663,0.0098614,0.0098614,0.0098614
9,241.036,1.68834,2.09507,1.0717,0.26803,0.46983,0.32558,0.19032,1.47545,2.05106,1.05356,0.0098416,0.0098416,0.0098416
10,262.872,1.68007,1.98381,1.06963,0.36736,0.47477,0.31187,0.18328,1.49755,1.70045,1.06206,0.0098218,0.0098218,0.0098218
11,285.703,1.60604,1.8657,1.05028,0.39121,0.50631,0.36208,0.20793,1.4773,1.70669,1.07264,0.009802,0.009802,0.009802
12,307.272,1.64063,1.82688,1.06174,0.32747,0.45707,0.31398,0.18621,1.49905,1.87011,1.05677,0.0097822,0.0097822,0.0097822
13,329.455,1.55746,1.79454,1.03792,0.37988,0.55701,0.43032,0.25909,1.34296,1.53146,1.0257,0.0097624,0.0097624,0.0097624
14,351.8,1.58543,1.76953,1.03471,0.24891,0.40408,0.27234,0.16415,1.47867,1.97853,1.0544,0.0097426,0.0097426,0.0097426
15,373.682,1.56884,1.70417,1.04196,0.37295,0.58049,0.39011,0.23835,1.38566,1.53458,1.01972,0.0097228,0.0097228,0.0097228
16,394.699,1.53007,1.70906,1.03079,0.46282,0.63715,0.4702,0.27957,1.43103,1.47385,1.0373,0.009703,0.009703,0.009703
17,416.302,1.50584,1.62974,1.02745,0.45832,0.5699,0.44492,0.26622,1.38349,1.52128,1.00541,0.0096832,0.0096832,0.0096832
18,438.762,1.50709,1.59802,1.0208,0.44768,0.61825,0.43429,0.25354,1.38882,1.41613,1.03278,0.0096634,0.0096634,0.0096634
19,460.594,1.47992,1.57734,1.0118,0.54257,0.56327,0.50904,0.31037,1.39161,1.32,1.02424,0.0096436,0.0096436,0.0096436
20,482.928,1.4774,1.54569,0.99774,0.53917,0.58909,0.53054,0.32294,1.37802,1.31144,1.00838,0.0096238,0.0096238,0.0096238
21,504.468,1.49992,1.50165,1.0233,0.47909,0.50039,0.44999,0.26575,1.41202,1.437,1.0173,0.009604,0.009604,0.009604
22,526.52,1.46699,1.48903,1.00515,0.42666,0.54304,0.45474,0.27855,1.37579,1.70665,1.01575,0.0095842,0.0095842,0.0095842
23,548.195,1.42484,1.40095,0.99799,0.46814,0.55909,0.46735,0.27698,1.39811,1.44164,1.0148,0.0095644,0.0095644,0.0095644
24,570.534,1.48603,1.46691,1.01309,0.43364,0.58382,0.43286,0.26426,1.33396,1.54596,1.00498,0.0095446,0.0095446,0.0095446
25,592.975,1.42782,1.4183,0.9912,0.60646,0.67848,0.59289,0.36984,1.29803,1.17943,0.99801,0.0095248,0.0095248,0.0095248
26,614.635,1.40701,1.3846,1.00147,0.43032,0.42188,0.32721,0.20959,1.3529,1.97704,0.99932,0.009505,0.009505,0.009505
27,636.279,1.41764,1.37948,0.99185,0.55814,0.61343,0.54679,0.32829,1.35354,1.2576,1.0042,0.0094852,0.0094852,0.0094852
28,658.259,1.37189,1.34949,0.97839,0.4714,0.66934,0.54491,0.32968,1.30342,1.26611,0.9966,0.0094654,0.0094654,0.0094654
29,679.699,1.39197,1.32701,0.99104,0.50494,0.66903,0.55051,0.32938,1.3525,1.23897,0.99422,0.0094456,0.0094456,0.0094456
30,701.39,1.38741,1.27656,0.99247,0.58836,0.70301,0.6149,0.37455,1.30544,1.11902,1.00234,0.0094258,0.0094258,0.0094258
31,723.001,1.32962,1.24841,0.96834,0.53387,0.502,0.47851,0.302,1.32525,1.36552,0.9916,0.009406,0.009406,0.009406
32,745.277,1.35677,1.2961,0.96806,0.59541,0.73352,0.62115,0.38161,1.28389,1.09675,0.99208,0.0093862,0.0093862,0.0093862
33,766.764,1.36884,1.28617,0.97529,0.5415,0.6642,0.58571,0.36117,1.26128,1.1537,0.98535,0.0093664,0.0093664,0.0093664
34,788.613,1.33699,1.25551,0.96789,0.56711,0.69914,0.57563,0.35364,1.31581,1.17695,1.00012,0.0093466,0.0093466,0.0093466
35,810.107,1.33373,1.26714,0.96567,0.52431,0.60794,0.57666,0.35197,1.31366,1.21731,0.9872,0.0093268,0.0093268,0.0093268
36,832.017,1.33656,1.21124,0.95147,0.60558,0.57663,0.54721,0.3352,1.31598,1.28415,0.98847,0.009307,0.009307,0.009307
37,854.099,1.35188,1.23457,0.98038,0.66318,0.74165,0.65535,0.40659,1.28,1.04998,0.99485,0.0092872,0.0092872,0.0092872
38,875.692,1.32318,1.24384,0.97315,0.5285,0.65817,0.56418,0.35829,1.21033,1.15609,0.97518,0.0092674,0.0092674,0.0092674
39,897.735,1.3165,1.22348,0.96651,0.56811,0.71584,0.60943,0.36841,1.25957,1.14352,0.96561,0.0092476,0.0092476,0.0092476
40,920.175,1.32699,1.2391,0.9609,0.58121,0.73485,0.64136,0.40868,1.24526,1.05284,0.9835,0.0092278,0.0092278,0.0092278
41,941.725,1.29868,1.21965,0.957,0.59305,0.72004,0.64046,0.39691,1.23716,1.05348,0.98111,0.009208,0.009208,0.009208
42,964.383,1.28693,1.17513,0.95245,0.60918,0.74456,0.64734,0.39982,1.23685,1.07574,0.97484,0.0091882,0.0091882,0.0091882
43,985.973,1.29727,1.19351,0.9648,0.60821,0.75655,0.64815,0.40705,1.23133,1.03321,0.96564,0.0091684,0.0091684,0.0091684
44,1007.51,1.28337,1.16364,0.95345,0.55972,0.62886,0.56537,0.36668,1.24262,1.16441,0.97466,0.0091486,0.0091486,0.0091486
45,1029.69,1.28733,1.1575,0.95515,0.64043,0.72463,0.65718,0.41133,1.21706,1.0424,0.96842,0.0091288,0.0091288,0.0091288
46,1052,1.25444,1.15168,0.94116,0.61868,0.69866,0.62819,0.39054,1.23649,1.13075,0.96945,0.009109,0.009109,0.009109
47,1074.11,1.27332,1.13643,0.94749,0.64778,0.74461,0.67697,0.42792,1.21099,0.98484,0.96386,0.0090892,0.0090892,0.0090892
48,1095.78,1.29057,1.17994,0.96351,0.59914,0.76374,0.66888,0.43153,1.19258,0.99309,0.96057,0.0090694,0.0090694,0.0090694
49,1117.28,1.25817,1.16869,0.94888,0.63744,0.76358,0.66281,0.43259,1.1818,0.99056,0.96186,0.0090496,0.0090496,0.0090496
50,1138.7,1.27792,1.13228,0.95136,0.54609,0.69692,0.61552,0.3978,1.21183,1.10555,0.96837,0.0090298,0.0090298,0.0090298
